,name,price,km,fuel_type,location
0,2017 Mahindra XUV500 W10,"₹9,75,000","78,145 KMs",Diesel,Ranchi
1,2017 Maruti Suzuki Baleno RS 1.0,"₹5,99,000","73,000 KMs",Petrol,Vadodara
2,2019 Land Rover Range Rover Velar 2.0 R-Dynamic SE Petrol 250,"₹86,00,000","37,913 KMs",Petrol,Delhi
3,2005 Honda CR-V 2.4 MT,"₹4,25,000","79,845 KMs",Petrol,Hyderabad
4,2020 Hyundai i20 Asta (O) 1.0 Turbo DCT,"₹11,75,000","5,900 KMs",Petrol,Mumbai
5,2020 Mercedes-Benz GLE Coupe 53 AMG 4Matic Plus,"₹1,45,00,000","5,000 KMs",Petrol,Faridabad
6,2016 Volkswagen Jetta Highline TDI AT,"₹9,75,000","73,000 KMs",Diesel,Mumbai
7,2016 BMW 3 Series GT 320d Luxury Line [2014-2016],"₹25,50,000","21,000 KMs",Diesel,Delhi
8,2021 Jeep Compass 80 Anniversary 1.4 Petrol DCT,"₹26,00,000","8,888 KMs",Petrol,Mumbai
9,2021 MINI Cooper JCW Hatchback,"₹45,00,000","2,308 KMs",Petrol,Mumbai
10,2017 Mercedes-Benz C-Class C 200 Avantgarde,"₹30,50,000","32,060 KMs",Petrol,Mumbai
11,2019 Mercedes-Benz CLA 200 Petrol Sport,"₹32,50,000","24,028 KMs",Petrol,Mumbai
12,2017 Mahindra KUV100 K4 D 5 STR,"₹4,75,000","33,888 KMs",Diesel,Chennai
13,2018 Honda Jazz VX CVT Petrol,"₹7,95,000","22,673 KMs",Petrol,Mumbai
14,2016 Hyundai Grand i10 Sports Edition 1.1 CRDi,"₹4,85,000","62,429 KMs",Diesel,Kanpur
15,2015 Maruti Suzuki Swift VDi,"₹5,65,000","49,208 KMs",Diesel,Chennai
16,2014 Mahindra XUV500 W8,"₹7,49,999","63,305 KMs",Diesel,Mumbai
17,2015 Renault Duster 85 PS RxL Diesel (Opt),"₹6,64,999","87,754 KMs",Diesel,Mumbai
18,2019 Hyundai Santro Era Executive [2019-2020],"₹4,90,000","11,802 KMs",Petrol,Kanpur
19,2019 Honda Jazz VX Petrol,"₹7,20,000","11,633 KMs",Petrol,Chennai
20,2018 Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,"₹8,60,000","54,314 KMs",Petrol,Pune
21,2018 Maruti Suzuki Baleno Alpha Automatic,"₹8,25,000","10,486 KMs",Petrol,Pune
